NAME,GENERIC_NAME,NAME_TYPE,FULL_GENERIC_NAME,FDA_SCHEDULE,VA_CLASS,VA_CATEGORY,CATEGORY
CHAVO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BENZYLMORPHINE,BENZYLMORPHINE,GENERIC_NAME,BENZYLMORPHINE,SCHEDULE I,,,
CHEESE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CHICLE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CHICLOSA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CHINA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
DESOMORPHINE,DESOMORPHINE,GENERIC_NAME,DESOMORPHINE,SCHEDULE I,,,DERIVATIVE
CHINA BLANCA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CHINA CAT,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
DIHYDROETORPHINE,DIHYDROETORPHINE,GENERIC_NAME,DIHYDROETORPHINE,SCHEDULE II,,,
CHINA WHITE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CHINESE BUFFET,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CHINESE FOOD,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CHINESE RED,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CHIP,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CHIVA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CHIVA BLANCA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CHIVA LOCA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
HYDROMORPHINOL,HYDROMORPHINOL,GENERIC_NAME,HYDROMORPHINOL,SCHEDULE I,,,ANALOGUE
CHIVA NEGRA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CHIVONES,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CHOCOLATE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
