id,name,name_type,full_generic_name,category,fda_schedule
277,negrita,street_name,heroin,painkiller,schedule i
278,nice and easy,street_name,heroin,painkiller,schedule i
279,obama,street_name,heroin,painkiller,schedule i
280,old steve,street_name,heroin,painkiller,schedule i
281,pants,street_name,heroin,painkiller,schedule i
282,patty,street_name,heroin,painkiller,schedule i
283,peg,street_name,heroin,painkiller,schedule i
284,p-funk,street_name,heroin,painkiller,schedule i
285,piezas,street_name,heroin,painkiller,schedule i
286,plata,street_name,heroin,painkiller,schedule i
287,poison,street_name,heroin,painkiller,schedule i
288,polvo,street_name,heroin,painkiller,schedule i
289,gamma-hydroxybutyric acid,generic_name,gamma-hydroxybutyric acid,,schedule i
290,polvo de alegria,street_name,heroin,painkiller,schedule i
291,hashish,generic_name,hashish,product,schedule i
292,polvo de estrellas,street_name,heroin,painkiller,schedule i
293,polvo feliz,street_name,heroin,painkiller,schedule i
294,poppy,street_name,heroin,painkiller,schedule i
295,prostituta negra,street_name,heroin,painkiller,schedule i
296,puppy,street_name,heroin,painkiller,schedule i
297,modafinil,generic_name,modafinil,agent,schedule iv
298,rambo,street_name,heroin,painkiller,schedule i
299,"n,n-dimethyltryptamine",generic_name,"n,n-dimethyltryptamine",compound,schedule i
300,red chicken,street_name,heroin,painkiller,schedule i
301,red eagle,street_name,heroin,painkiller,schedule i
302,reindeer dust,street_name,heroin,painkiller,schedule i
303,phencyclidine,generic_name,phencyclidine,drug,schedule ii
304,roofing tar,street_name,heroin,painkiller,schedule i
305,ruby,street_name,heroin,painkiller,schedule i
306,sack,street_name,heroin,painkiller,schedule i
307,scag,street_name,heroin,painkiller,schedule i
308,scat,street_name,heroin,painkiller,schedule i
309,schmeck,street_name,heroin,painkiller,schedule i
310,scramble,street_name,heroin,painkiller,schedule i
311,shirts,street_name,heroin,painkiller,schedule i
312,skag,street_name,heroin,painkiller,schedule i
313,skunk,street_name,heroin,painkiller,schedule i
314,trenbolone,generic_name,trenbolone,steroid,schedule iii
315,slime,street_name,heroin,painkiller,schedule i
316,smack,street_name,heroin,painkiller,schedule i
317,smeck,street_name,heroin,painkiller,schedule i
318,snickers,street_name,heroin,painkiller,schedule i
319,soda,street_name,heroin,painkiller,schedule i
320,speedball,street_name,heroin,painkiller,schedule i
321,spider blue,street_name,heroin,painkiller,schedule i
322,desmethylprodine,generic_name,desmethylprodine,drug,schedule i
323,sticky kind,street_name,heroin,painkiller,schedule i
324,stufa,street_name,heroin,painkiller,schedule i
325,sweet jesus,street_name,heroin,painkiller,schedule i
326,tan,street_name,heroin,painkiller,schedule i
327,tar,street_name,heroin,painkiller,schedule i
328,tecata,street_name,heroin,painkiller,schedule i
329,ethylmorphine,generic_name,ethylmorphine,ethylmorphine,schedule ii
330,thunder,street_name,heroin,painkiller,schedule i
331,tires,street_name,heroin,painkiller,schedule i
332,tomasa,street_name,heroin,painkiller,schedule i
333,tootsie roll,street_name,heroin,painkiller,schedule i
334,tragic magic,street_name,heroin,painkiller,schedule i
335,turtle,street_name,heroin,painkiller,schedule i
336,vidrio,street_name,heroin,painkiller,schedule i
337,weights,street_name,heroin,painkiller,schedule i
338,white boy,street_name,heroin,painkiller,schedule i
339,white girl,street_name,heroin,painkiller,schedule i
340,white junk,street_name,heroin,painkiller,schedule i
341,white lady,street_name,heroin,painkiller,schedule i
342,white nurse,street_name,heroin,painkiller,schedule i
343,white shirt,street_name,heroin,painkiller,schedule i
344,white stuff,street_name,heroin,painkiller,schedule i
345,witch,street_name,heroin,painkiller,schedule i
346,witch hazel,street_name,heroin,painkiller,schedule i
347,zapapote,street_name,heroin,painkiller,schedule i
348,oxycodone,generic_name,oxycodone,opioid analgesics,schedule ii
349,512s,street_name,oxycodone containing acetaminophen,opioid analgesics,schedule ii
350,bananas,street_name,oxycodone containing acetaminophen,opioid analgesics,schedule ii
351,blue dynamite,street_name,oxycodone containing acetaminophen,opioid analgesics,schedule ii
352,blueberries,street_name,oxycodone containing acetaminophen,opioid analgesics,schedule ii
353,buttons,street_name,oxycodone containing acetaminophen,opioid analgesics,schedule ii
354,ercs,street_name,oxycodone containing acetaminophen,opioid analgesics,schedule ii
355,meprobamate,generic_name,meprobamate,opioid analgesics,schedule iv
356,greenies,street_name,oxycodone containing acetaminophen,opioid analgesics,schedule ii
357,hillbilly heroin,street_name,oxycodone containing acetaminophen,opioid analgesics,schedule ii
358,nabilone,generic_name,nabilone,opioid analgesics,schedule ii
359,kickers,street_name,oxycodone containing acetaminophen,opioid analgesics,schedule ii
360,m-30s,street_name,oxycodone containing acetaminophen,opioid analgesics,schedule ii
361,paulas,street_name,oxycodone containing acetaminophen,opioid analgesics,schedule ii
362,percs,street_name,oxycodone containing acetaminophen,opioid analgesics,schedule ii
